Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
Malaria cases reported,SH.STA.MALR,Denmark,DNK,..
Malaria cases reported,SH.STA.MALR,Djibouti,DJI,..
Malaria cases reported,SH.STA.MALR,Dominica,DMA,..
Malaria cases reported,SH.STA.MALR,Dominican Republic,DOM,1233
Malaria cases reported,SH.STA.MALR,Ecuador,ECU,104528
Malaria cases reported,SH.STA.MALR,"Egypt, Arab Rep.",EGY,0
Malaria cases reported,SH.STA.MALR,El Salvador,SLV,753
Malaria cases reported,SH.STA.MALR,Equatorial Guinea,GNQ,..
Malaria cases reported,SH.STA.MALR,Eritrea,ERI,..
Malaria cases reported,SH.STA.MALR,Estonia,EST,..
Malaria cases reported,SH.STA.MALR,Ethiopia,ETH,..
Malaria cases reported,SH.STA.MALR,Faroe Islands,FRO,..
Malaria cases reported,SH.STA.MALR,Fiji,FJI,..
Malaria cases reported,SH.STA.MALR,Finland,FIN,..
Malaria cases reported,SH.STA.MALR,France,FRA,..
Malaria cases reported,SH.STA.MALR,French Polynesia,PYF,..
Malaria cases reported,SH.STA.MALR,Gabon,GAB,50810
Malaria cases reported,SH.STA.MALR,"Gambia, The",GMB,..
Malaria cases reported,SH.STA.MALR,Georgia,GEO,245
Malaria cases reported,SH.STA.MALR,Germany,DEU,..
Malaria cases reported,SH.STA.MALR,Ghana,GHA,..
Malaria cases reported,SH.STA.MALR,Gibraltar,GIB,..
Malaria cases reported,SH.STA.MALR,Greece,GRC,..
Malaria cases reported,SH.STA.MALR,Greenland,GRL,..
Malaria cases reported,SH.STA.MALR,Grenada,GRD,..
Malaria cases reported,SH.STA.MALR,Guam,GUM,..
Malaria cases reported,SH.STA.MALR,Guatemala,GTM,53311
Malaria cases reported,SH.STA.MALR,Guinea,GIN,4800
Malaria cases reported,SH.STA.MALR,Guinea-Bissau,GNB,..
Malaria cases reported,SH.STA.MALR,Guyana,GUY,24018
Malaria cases reported,SH.STA.MALR,Haiti,HTI,16897
Malaria cases reported,SH.STA.MALR,Honduras,HND,35125
Malaria cases reported,SH.STA.MALR,"Hong Kong SAR, China",HKG,..
Malaria cases reported,SH.STA.MALR,Hungary,HUN,..
Malaria cases reported,SH.STA.MALR,Iceland,ISL,..
Malaria cases reported,SH.STA.MALR,India,IND,2031790
Malaria cases reported,SH.STA.MALR,Indonesia,IDN,245612
Malaria cases reported,SH.STA.MALR,"Iran, Islamic Rep.",IRN,12294
Malaria cases reported,SH.STA.MALR,Iraq,IRQ,1860
Malaria cases reported,SH.STA.MALR,Ireland,IRL,..
Malaria cases reported,SH.STA.MALR,Isle of Man,IMN,..
Malaria cases reported,SH.STA.MALR,Israel,ISR,..
Malaria cases reported,SH.STA.MALR,Italy,ITA,..
Malaria cases reported,SH.STA.MALR,Jamaica,JAM,7
Malaria cases reported,SH.STA.MALR,Japan,JPN,..
Malaria cases reported,SH.STA.MALR,Jordan,JOR,..
Malaria cases reported,SH.STA.MALR,Kazakhstan,KAZ,..
Malaria cases reported,SH.STA.MALR,Kenya,KEN,..
Malaria cases reported,SH.STA.MALR,Kiribati,KIR,..
Malaria cases reported,SH.STA.MALR,"Korea, Dem. People’s Rep.",PRK,90582
Malaria cases reported,SH.STA.MALR,"Korea, Rep.",KOR,4183
Malaria cases reported,SH.STA.MALR,Kosovo,XKX,..
Malaria cases reported,SH.STA.MALR,Kuwait,KWT,..
Malaria cases reported,SH.STA.MALR,Kyrgyz Republic,KGZ,12
Malaria cases reported,SH.STA.MALR,Lao PDR,LAO,40106
Malaria cases reported,SH.STA.MALR,Latvia,LVA,..
Malaria cases reported,SH.STA.MALR,Lebanon,LBN,..
Malaria cases reported,SH.STA.MALR,Lesotho,LSO,..
Malaria cases reported,SH.STA.MALR,Liberia,LBR,..
Malaria cases reported,SH.STA.MALR,Libya,LBY,..
Malaria cases reported,SH.STA.MALR,Liechtenstein,LIE,..
Malaria cases reported,SH.STA.MALR,Lithuania,LTU,..
Malaria cases reported,SH.STA.MALR,Luxembourg,LUX,..
Malaria cases reported,SH.STA.MALR,"Macao SAR, China",MAC,..
Malaria cases reported,SH.STA.MALR,"Macedonia, FYR",MKD,..
Malaria cases reported,SH.STA.MALR,Madagascar,MDG,6946
Malaria cases reported,SH.STA.MALR,Malawi,MWI,..
Malaria cases reported,SH.STA.MALR,Malaysia,MYS,12705
Malaria cases reported,SH.STA.MALR,Maldives,MDV,..
Malaria cases reported,SH.STA.MALR,Mali,MLI,..
Malaria cases reported,SH.STA.MALR,Malta,MLT,..
Malaria cases reported,SH.STA.MALR,Marshall Islands,MHL,..
Malaria cases reported,SH.STA.MALR,Mauritania,MRT,..
Malaria cases reported,SH.STA.MALR,Mauritius,MUS,..
Malaria cases reported,SH.STA.MALR,Mexico,MEX,7390
Malaria cases reported,SH.STA.MALR,"Micronesia, Fed. Sts.",FSM,..
Malaria cases reported,SH.STA.MALR,Moldova,MDA,..
Malaria cases reported,SH.STA.MALR,Monaco,MCO,..
Malaria cases reported,SH.STA.MALR,Mongolia,MNG,..
Malaria cases reported,SH.STA.MALR,Montenegro,MNE,..
Malaria cases reported,SH.STA.MALR,Morocco,MAR,3
Malaria cases reported,SH.STA.MALR,Mozambique,MOZ,..
Malaria cases reported,SH.STA.MALR,Myanmar,MMR,120083
Malaria cases reported,SH.STA.MALR,Namibia,NAM,..
Malaria cases reported,SH.STA.MALR,Nauru,NRU,..
Malaria cases reported,SH.STA.MALR,Nepal,NPL,7981
Malaria cases reported,SH.STA.MALR,Netherlands,NLD,..
Malaria cases reported,SH.STA.MALR,New Caledonia,NCL,..
Malaria cases reported,SH.STA.MALR,New Zealand,NZL,..
Malaria cases reported,SH.STA.MALR,Nicaragua,NIC,23878
Malaria cases reported,SH.STA.MALR,Niger,NER,..
Malaria cases reported,SH.STA.MALR,Nigeria,NGA,..
Malaria cases reported,SH.STA.MALR,Northern Mariana Islands,MNP,..
Malaria cases reported,SH.STA.MALR,Norway,NOR,..
Malaria cases reported,SH.STA.MALR,Oman,OMN,6
Malaria cases reported,SH.STA.MALR,Pakistan,PAK,82526
Malaria cases reported,SH.STA.MALR,Palau,PLW,..
Malaria cases reported,SH.STA.MALR,Panama,PAN,1036
Malaria cases reported,SH.STA.MALR,Papua New Guinea,PNG,79839
Malaria cases reported,SH.STA.MALR,Paraguay,PRY,6853
Malaria cases reported,SH.STA.MALR,Peru,PER,68321
Malaria cases reported,SH.STA.MALR,Philippines,PHL,..
Malaria cases reported,SH.STA.MALR,Poland,POL,..
Malaria cases reported,SH.STA.MALR,Portugal,PRT,..
Malaria cases reported,SH.STA.MALR,Puerto Rico,PRI,..
Malaria cases reported,SH.STA.MALR,Qatar,QAT,..
Malaria cases reported,SH.STA.MALR,Romania,ROU,..
Malaria cases reported,SH.STA.MALR,Russian Federation,RUS,795
Malaria cases reported,SH.STA.MALR,Rwanda,RWA,..
Malaria cases reported,SH.STA.MALR,Samoa,WSM,..
Malaria cases reported,SH.STA.MALR,San Marino,SMR,..
Malaria cases reported,SH.STA.MALR,Sao Tome and Principe,STP,31975
Malaria cases reported,SH.STA.MALR,Saudi Arabia,SAU,4736
Malaria cases reported,SH.STA.MALR,Senegal,SEN,44959
Malaria cases reported,SH.STA.MALR,Serbia,SRB,..
Malaria cases reported,SH.STA.MALR,Seychelles,SYC,..
Malaria cases reported,SH.STA.MALR,Sierra Leone,SLE,..
Malaria cases reported,SH.STA.MALR,Singapore,SGP,..
Malaria cases reported,SH.STA.MALR,Sint Maarten (Dutch part),SXM,..
Malaria cases reported,SH.STA.MALR,Slovak Republic,SVK,..
Malaria cases reported,SH.STA.MALR,Slovenia,SVN,..
Malaria cases reported,SH.STA.MALR,Solomon Islands,SLB,68107
Malaria cases reported,SH.STA.MALR,Somalia,SOM,..
Malaria cases reported,SH.STA.MALR,South Africa,ZAF,..
Malaria cases reported,SH.STA.MALR,South Sudan,SSD,..
Malaria cases reported,SH.STA.MALR,Spain,ESP,..
Malaria cases reported,SH.STA.MALR,Sri Lanka,LKA,210039
Malaria cases reported,SH.STA.MALR,St. Kitts and Nevis,KNA,..
Malaria cases reported,SH.STA.MALR,St. Lucia,LCA,..
Malaria cases reported,SH.STA.MALR,St. Martin (French part),MAF,..
Malaria cases reported,SH.STA.MALR,St. Vincent and the Grenadines,VCT,..
Malaria cases reported,SH.STA.MALR,Sudan,SDN,368557
Malaria cases reported,SH.STA.MALR,Suriname,SUR,11361
